#       # k              E            BS weight       TS weight
      0.9491442     -1.7601712       0.0023258       0.0027090
      0.9922871     -1.6638344       0.0022500       0.0026707
      1.0354300     -1.5659995       0.0021685       0.0026327
      1.0785729     -1.4670413       0.0020817       0.0025966
      1.1217158     -1.3673653       0.0019914       0.0025647
      1.1648587     -1.2674163       0.0019006       0.0025411
      1.2080017     -1.1676921       0.0018154       0.0025319
      1.2511446     -1.0687637       0.0017473       0.0025467
      1.2942875     -1.0687637       0.0017473       0.0025467
      1.3374304     -1.1676921       0.0018154       0.0025319
      1.3805733     -1.2674163       0.0019006       0.0025411
      1.4237162     -1.3673653       0.0019914       0.0025647
      1.4668592     -1.4670413       0.0020817       0.0025966
      1.5100021     -1.5659995       0.0021685       0.0026327
      1.5531450     -1.6638344       0.0022500       0.0026707
      1.5962879     -1.7601712       0.0023258       0.0027090
      1.6394308     -1.8546595       0.0023956       0.0027464
      1.6825737     -1.9469694       0.0024596       0.0027824
      1.7257167     -2.0367890       0.0025180       0.0028166
      1.7688596     -2.1238225       0.0025713       0.0028488
      1.8120025     -2.2077892       0.0026198       0.0028789
      1.8551454     -2.2884228       0.0026637       0.0029069
      1.8982883     -2.3654710       0.0027035       0.0029328
      1.9414312     -2.4386953       0.0027395       0.0029566
      1.9845741     -2.5078714       0.0027720       0.0029783
      2.0277171     -2.5727888       0.0028011       0.0029981
      2.0708600     -2.6332511       0.0028272       0.0030161
      2.1140029     -2.6890765       0.0028504       0.0030322
      2.1571458     -2.7400979       0.0028709       0.0030466
      2.2002887     -2.7861630       0.0028889       0.0030593
      2.2434316     -2.8271349       0.0029044       0.0030703
      2.2865746     -2.8628920       0.0029177       0.0030798
      2.3297175     -2.8933285       0.0029288       0.0030878
      2.3728604     -2.9183545       0.0029377       0.0030942
      2.4160033     -2.9378960       0.0029446       0.0030992
      2.4591462     -2.9518954       0.0029495       0.0031028
      2.5022891     -2.9603116       0.0029524       0.0031049
      2.5454321     -2.9631198       0.0029534       0.0031056
 
      0.0000000     -2.9498569       0.0038169       0.0040123
      0.0431429     -2.9470548       0.0038156       0.0040114
      0.0862858     -2.9386569       0.0038118       0.0040087
      0.1294287     -2.9246881       0.0038055       0.0040041
      0.1725717     -2.9051900       0.0037966       0.0039976
      0.2157146     -2.8802205       0.0037850       0.0039892
      0.2588575     -2.8498540       0.0037706       0.0039789
      0.3020004     -2.8141811       0.0037534       0.0039666
      0.3451433     -2.7733085       0.0037333       0.0039523
      0.3882862     -2.7273587       0.0037100       0.0039359
      0.4314292     -2.6764700       0.0036834       0.0039172
      0.4745721     -2.6207958       0.0036533       0.0038963
      0.5177150     -2.5605051       0.0036195       0.0038730
      0.5608579     -2.4957818       0.0035817       0.0038473
      0.6040008     -2.4268243       0.0035396       0.0038190
      0.6471437     -2.3538460       0.0034929       0.0037881
      0.6902867     -2.2770747       0.0034412       0.0037545
      0.7334296     -2.1967528       0.0033840       0.0037181
      0.7765725     -2.1131373       0.0033211       0.0036789
      0.8197154     -2.0265003       0.0032518       0.0036369
      0.8628583     -1.9371295       0.0031757       0.0035923
      0.9060012     -1.8453293       0.0030924       0.0035453
      0.9491442     -1.7514219       0.0030014       0.0034964
      0.9922871     -1.6557505       0.0029028       0.0034464
      1.0354300     -1.5586817       0.0027965       0.0033966
      1.0785729     -1.4606114       0.0026836       0.0033491
      1.1217158     -1.3619714       0.0025661       0.0033072
      1.1648587     -1.2632410       0.0024482       0.0032759
      1.2080017     -1.1649628       0.0023380       0.0032631
      1.2511446     -1.0677667       0.0022504       0.0032812
      1.2942875     -1.0677667       0.0022504       0.0032812
      1.3374304     -1.1649628       0.0023380       0.0032631
      1.3805733     -1.2632410       0.0024482       0.0032759
      1.4237162     -1.3619714       0.0025661       0.0033072
      1.4668592     -1.4606114       0.0026836       0.0033491
      1.5100021     -1.5586817       0.0027965       0.0033966
      1.5531450     -1.6557505       0.0029028       0.0034464
      1.5962879     -1.7514219       0.0030014       0.0034964
      1.6394308     -1.8453293       0.0030924       0.0035453
      1.6825737     -1.9371295       0.0031757       0.0035923
      1.7257167     -2.0265003       0.0032518       0.0036369
      1.7688596     -2.1131373       0.0033211       0.0036789
      1.8120025     -2.1967528       0.0033840       0.0037181
      1.8551454     -2.2770747       0.0034412       0.0037545
      1.8982883     -2.3538460       0.0034929       0.0037881
      1.9414312     -2.4268243       0.0035396       0.0038190
      1.9845741     -2.4957818       0.0035817       0.0038473
      2.0277171     -2.5605051       0.0036195       0.0038730
      2.0708600     -2.6207958       0.0036533       0.0038963
      2.1140029     -2.6764700       0.0036834       0.0039172
      2.1571458     -2.7273587       0.0037100       0.0039359
      2.2002887     -2.7733085       0.0037333       0.0039523
      2.2434316     -2.8141811       0.0037534       0.0039666
      2.2865746     -2.8498540       0.0037706       0.0039789
      2.3297175     -2.8802205       0.0037850       0.0039892
      2.3728604     -2.9051900       0.0037966       0.0039976
      2.4160033     -2.9246881       0.0038055       0.0040041
      2.4591462     -2.9386569       0.0038118       0.0040087
      2.5022891     -2.9470548       0.0038156       0.0040114
      2.5454321     -2.9498569       0.0038169       0.0040123
 
      0.0000000     -2.9348628       0.0047730       0.0050157
      0.0431429     -2.9320676       0.0047715       0.0050145
      0.0862858     -2.9236903       0.0047667       0.0050111
      0.1294287     -2.9097560       0.0047588       0.0050053
      0.1725717     -2.8903067       0.0047476       0.0049972
      0.2157146     -2.8654006       0.0047331       0.0049867
      0.2588575     -2.8351129       0.0047151       0.0049738
      0.3020004     -2.7995348       0.0046936       0.0049584
      0.3451433     -2.7587740       0.0046683       0.0049404
      0.3882862     -2.7129541       0.0046391       0.0049198
      0.4314292     -2.6622147       0.0046057       0.0048964
      0.4745721     -2.6067110       0.0045680       0.0048701
      0.5177150     -2.5466138       0.0045256       0.0048409
      0.5608579     -2.4821090       0.0044781       0.0048086
      0.6040008     -2.4133981       0.0044252       0.0047730
      0.6471437     -2.3406975       0.0043664       0.0047341
      0.6902867     -2.2642388       0.0043014       0.0046918
      0.7334296     -2.1842689       0.0042295       0.0046459
      0.7765725     -2.1010503       0.0041502       0.0045964
      0.8197154     -2.0148616       0.0040629       0.0045434
      0.8628583     -1.9259984       0.0039670       0.0044871
      0.9060012     -1.8347749       0.0038619       0.0044276
      0.9491442     -1.7415254       0.0037472       0.0043657
      0.9922871     -1.6466076       0.0036227       0.0043023
      1.0354300     -1.5504071       0.0034887       0.0042391
      1.0785729     -1.4533430       0.0033463       0.0041787
      1.1217158     -1.3558770       0.0031982       0.0041252
      1.1648587     -1.2585269       0.0030501       0.0040849
      1.2080017     -1.1618845       0.0029121       0.0040677
      1.2511446     -1.0666440       0.0028031       0.0040887
      1.2942875     -1.0666440       0.0028031       0.0040887
      1.3374304     -1.1618845       0.0029121       0.0040677
      1.3805733     -1.2585269       0.0030501       0.0040849
      1.4237162     -1.3558770       0.0031982       0.0041252
      1.4668592     -1.4533430       0.0033463       0.0041787
      1.5100021     -1.5504071       0.0034887       0.0042391
      1.5531450     -1.6466076       0.0036227       0.0043023
      1.5962879     -1.7415254       0.0037472       0.0043657
      1.6394308     -1.8347749       0.0038619       0.0044276
      1.6825737     -1.9259984       0.0039670       0.0044871
      1.7257167     -2.0148616       0.0040629       0.0045434
      1.7688596     -2.1010503       0.0041502       0.0045964
      1.8120025     -2.1842689       0.0042295       0.0046459
      1.8551454     -2.2642388       0.0043014       0.0046918
      1.8982883     -2.3406975       0.0043664       0.0047341
      1.9414312     -2.4133981       0.0044252       0.0047730
      1.9845741     -2.4821090       0.0044781       0.0048086
      2.0277171     -2.5466138       0.0045256       0.0048409
      2.0708600     -2.6067110       0.0045680       0.0048701
      2.1140029     -2.6622147       0.0046057       0.0048964
      2.1571458     -2.7129541       0.0046391       0.0049198
      2.2002887     -2.7587740       0.0046683       0.0049404
      2.2434316     -2.7995348       0.0046936       0.0049584
      2.2865746     -2.8351129       0.0047151       0.0049738
      2.3297175     -2.8654006       0.0047331       0.0049867
