# Berry curvature in unit of (Angstrom^2)  
#                                      Sum over 1-NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)   kx' (1/A)   ky' (1/A)   kz' (1/A)     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
   -1.706237   -0.496144    0.000000   -1.706237   -0.496144    0.000000  0.0000E+00  0.0000E+00  0.4329E+00  0.0000E+00  0.0000E+00  0.4329E+00  0.0000E+00  0.0000E+00  0.4329E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.681329   -0.453001    0.000000   -1.681329   -0.453001    0.000000  0.0000E+00  0.0000E+00  0.4051E+00  0.0000E+00  0.0000E+00  0.4051E+00  0.0000E+00  0.0000E+00  0.4051E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.656420   -0.409858    0.000000   -1.656420   -0.409858    0.000000  0.0000E+00  0.0000E+00  0.3727E+00  0.0000E+00  0.0000E+00  0.3727E+00  0.0000E+00  0.0000E+00  0.3727E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.631512   -0.366715    0.000000   -1.631512   -0.366715    0.000000  0.0000E+00  0.0000E+00  0.3365E+00  0.0000E+00  0.0000E+00  0.3365E+00  0.0000E+00  0.0000E+00  0.3365E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606603   -0.323572    0.000000   -1.606603   -0.323572    0.000000  0.0000E+00  0.0000E+00  0.2975E+00  0.0000E+00  0.0000E+00  0.2975E+00  0.0000E+00  0.0000E+00  0.2975E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.581694   -0.280429    0.000000   -1.581694   -0.280429    0.000000  0.0000E+00  0.0000E+00  0.2568E+00  0.0000E+00  0.0000E+00  0.2568E+00  0.0000E+00  0.0000E+00  0.2568E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.556786   -0.237286    0.000000   -1.556786   -0.237286    0.000000  0.0000E+00  0.0000E+00  0.2151E+00  0.0000E+00  0.0000E+00  0.2151E+00  0.0000E+00  0.0000E+00  0.2151E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.531877   -0.194143    0.000000   -1.531877   -0.194143    0.000000  0.0000E+00  0.0000E+00  0.1733E+00  0.0000E+00  0.0000E+00  0.1733E+00  0.0000E+00  0.0000E+00  0.1733E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.506969   -0.151000    0.000000   -1.506969   -0.151000    0.000000  0.0000E+00  0.0000E+00  0.1321E+00  0.0000E+00  0.0000E+00  0.1321E+00  0.0000E+00  0.0000E+00  0.1321E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.482060   -0.107857    0.000000   -1.482060   -0.107857    0.000000  0.0000E+00  0.0000E+00  0.9208E-01  0.0000E+00  0.0000E+00  0.9208E-01  0.0000E+00  0.0000E+00  0.9208E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.457152   -0.064714    0.000000   -1.457152   -0.064714    0.000000  0.0000E+00  0.0000E+00  0.5371E-01  0.0000E+00  0.0000E+00  0.5371E-01  0.0000E+00  0.0000E+00  0.5371E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.432243   -0.021571    0.000000   -1.432243   -0.021571    0.000000  0.0000E+00  0.0000E+00  0.1734E-01  0.0000E+00  0.0000E+00  0.1734E-01  0.0000E+00  0.0000E+00  0.1734E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.407334    0.021571    0.000000   -1.407334    0.021571    0.000000  0.0000E+00  0.0000E+00 -0.1675E-01  0.0000E+00  0.0000E+00 -0.1675E-01  0.0000E+00  0.0000E+00 -0.1675E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.382426    0.064714    0.000000   -1.382426    0.064714    0.000000  0.0000E+00  0.0000E+00 -0.4840E-01  0.0000E+00  0.0000E+00 -0.4840E-01  0.0000E+00  0.0000E+00 -0.4840E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.357517    0.107857    0.000000   -1.357517    0.107857    0.000000  0.0000E+00  0.0000E+00 -0.7750E-01  0.0000E+00  0.0000E+00 -0.7750E-01  0.0000E+00  0.0000E+00 -0.7750E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.332609    0.151000    0.000000   -1.332609    0.151000    0.000000  0.0000E+00  0.0000E+00 -0.1040E+00  0.0000E+00  0.0000E+00 -0.1040E+00  0.0000E+00  0.0000E+00 -0.1040E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.307700    0.194143    0.000000   -1.307700    0.194143    0.000000  0.0000E+00  0.0000E+00 -0.1279E+00  0.0000E+00  0.0000E+00 -0.1279E+00  0.0000E+00  0.0000E+00 -0.1279E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.282792    0.237286    0.000000   -1.282792    0.237286    0.000000  0.0000E+00  0.0000E+00 -0.1492E+00  0.0000E+00  0.0000E+00 -0.1492E+00  0.0000E+00  0.0000E+00 -0.1492E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.257883    0.280429    0.000000   -1.257883    0.280429    0.000000  0.0000E+00  0.0000E+00 -0.1679E+00  0.0000E+00  0.0000E+00 -0.1679E+00  0.0000E+00  0.0000E+00 -0.1679E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.232974    0.323572    0.000000   -1.232974    0.323572    0.000000  0.0000E+00  0.0000E+00 -0.1842E+00  0.0000E+00  0.0000E+00 -0.1842E+00  0.0000E+00  0.0000E+00 -0.1842E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.208066    0.366715    0.000000   -1.208066    0.366715    0.000000  0.0000E+00  0.0000E+00 -0.1981E+00  0.0000E+00  0.0000E+00 -0.1981E+00  0.0000E+00  0.0000E+00 -0.1981E+00  0.0000E+00  0.0000E+00  0.0000E+00
